group,code
European Conservatives and Reformists Group,ECR
Non-attached,NI
Europe of Freedom and Direct Democracy Group,EFDD
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D
Group of the Alliance of Liberals and Democrats for Europe,ALDE
Group of the Greens/European Free Alliance,Greens-EFA
Group of the European People's Party (Christian Democrats),EPP
Europe of Nations and Freedom Group,ENL
Confederal Group of the European United Left-Nordic Green Left,GUE-NGL
